Text,label
A gentle touch and warm presence with every guest.,feminine_coded
We need a den mother for our junior staff.,feminine_coded
Sweet personality and pleasant demeanor are must-haves.,feminine_coded
"Perky, upbeat hostess with a soothing voice.",feminine_coded
Her warmth and tenderness will define the guest experience.,feminine_coded
The salesman will manage the northern territory.,gendered_language
He will report directly to the VP of Engineering.,gendered_language
She will keep the office tidy and organized.,gendered_language
The chairman of the committee sets the agenda.,gendered_language
We need a spokesman for our press events.,gendered_language
Waitress needed for evening shifts.,gendered_language
The right man for the job knows networking hardware.,gendered_language
Every foreman oversees his own crew.,gendered_language
Male candidates preferred for this warehouse role.,gendered_language
Female candidates only for this receptionist position.,gendered_language
Looking for a handyman for property maintenance.,gendered_language
Manpower planning for the new facility is part of the job.,gendered_language
He or she must submit weekly status reports.,gendered_language
Our team of guys ships fast and breaks nothing.,gendered_language
Young man wanted for the delivery route.,gendered_language
Businessmen with strong local networks excel here.,gendered_language
Policemen and firemen are welcome to apply.,gendered_language
Estimate man-hours for each project phase.,gendered_language
Gentlemen with sales experience are encouraged to apply.,gendered_language
Saleswoman needed for the cosmetics counter.,gendered_language
A seasoned craftsman takes pride in his work.,gendered_language
His team will grow from five to twelve engineers.,gendered_language
"Women are naturally better at multitasking, so this role suits them.",stereotype
We need a dominant leader who commands respect through force.,stereotype
No emotional types — this floor is for the tough.,stereotype
"A born leader with a commanding, forceful presence.",stereotype
"Bossy candidates need not apply, especially women.",stereotype
Manly confidence is required to handle the shop floor.,stereotype
A motherly instinct with the children is expected.,stereotype
A take-no-prisoners management style is expected.,stereotype
We want someone who rules the team with an iron fist.,stereotype
Man up and handle the pressure without complaints.,stereotype
Avoid hysterical reactions when clients escalate.,stereotype
A macho attitude helps on this crew.,stereotype
An assertive man will thrive in this position.,stereotype
Real leaders keep their emotions at home.,stereotype
Females tend to be too emotional for this trading role.,stereotype
Girls are better suited to the reception desk.,stereotype
A strong man is needed to keep the warehouse in line.,stereotype
"Leadership here means dominance, not consensus.",stereotype
Must have no family commitments that interfere with work.,caregiver_bias
"This job comes first, before everything else in your life.",caregiver_bias
Total dedication is required — work is your life here.,caregiver_bias
No gaps in your employment history will be accepted.,caregiver_bias
Candidates with a continuous work history only.,caregiver_bias
"Must be available at all times, including holidays.",caregiver_bias
Personal 24/7 availability is expected of our managers.,caregiver_bias
"Willing to relocate immediately, no exceptions.",caregiver_bias
Unencumbered candidates preferred for the extensive travel.,caregiver_bias
Single candidates preferred; no kids.,caregiver_bias
Evenings and weekends required with no exceptions.,caregiver_bias
Flexibility to work long hours whenever we need you.,caregiver_bias
Career breaks are a red flag for us.,caregiver_bias
We expect you to put work before family obligations.,caregiver_bias
Only apply if your schedule is completely free of caregiving duties.,caregiver_bias
Fully committed candidates only — no personal obligations.,caregiver_bias
Digital natives will feel right at home on this team.,age_coded
Young and energetic team players wanted.,age_coded
Fresh graduates only; experienced candidates need not apply.,age_coded
Candidates under 30 preferred for this role.,age_coded
"Join our young, vibrant team of twenty-somethings.",age_coded
A millennial mindset is essential for our brand voice.,age_coded
Applicants must be born after 1995.,age_coded
New grads only for this fast-paced position.,age_coded
Overqualified candidates will not be considered.,age_coded
High-energy young hustlers wanted for the launch team.,age_coded
A youthful culture fueled by energy drinks and ping pong.,age_coded
We're a young company looking for people who match our energy.,age_coded
Maximum age for applicants is 35.,age_coded
Recent college graduates strongly preferred.,age_coded
Attractive candidates will represent the brand at events.,appearance_bias
Must be well-groomed and clean-cut at all times.,appearance_bias
"A presentable, photogenic appearance is required.",appearance_bias
"Slim, petite hostesses wanted for the lounge.",appearance_bias
Height requirement: at least five foot seven.,appearance_bias
A winning smile and great looks are essential.,appearance_bias
Young-looking staff preferred for our storefront.,appearance_bias
Neat appearance and a pleasant voice are required.,appearance_bias
Physically fit candidates only — image matters here.,appearance_bias
"Good-looking, stylish staff for our flagship store.",appearance_bias
Weight requirements apply for all cabin crew.,appearance_bias
Candidates should be attractive and camera-ready.,appearance_bias
Native English speakers only.,exclusionary
Must be a native speaker of English.,exclusionary
English as your mother tongue is required.,exclusionary
We work hard and play hard — happy hour every Friday.,exclusionary
A work-hard-play-hard culture with beer on tap.,exclusionary
Join the brotherhood of top closers.,exclusionary
Must fit in with the boys on the trading floor.,exclusionary
Culture fit matters most — we hire people like us.,exclusionary
Frat-house energy and mandatory team drinks.,exclusionary
Able-bodied workers only.,exclusionary
This isn't a 9-to-5; expect to live the mission.,exclusionary
"We're a family, and family doesn't clock out.",exclusionary
Sink or swim onboarding — only the tough survive.,exclusionary
Native-level English is a hard requirement.,exclusionary
Mandatory Friday drinks with the team.,exclusionary
Trial by fire from day one.,exclusionary
Applicants must meet all requirements without exception.,qualification_inflation
Do not apply unless you satisfy every single criterion.,qualification_inflation
Only fully qualified candidates should apply.,qualification_inflation
Expert in everything from design to DevOps.,qualification_inflation
"World-class, top 1% performers only.",qualification_inflation
Ivy League degree strongly preferred.,qualification_inflation
An elite university background is required.,qualification_inflation
"Twenty-plus years of experience required, no exceptions.",qualification_inflation
A-players only; no hand-holding provided.,qualification_inflation
MBA required; no equivalent experience considered.,qualification_inflation
Must hit the ground running with zero training.,qualification_inflation
Flawless execution expected from day one.,qualification_inflation
We're hunting a purple squirrel with mastery of every stack.,qualification_inflation
Candidates must meet 100% of the qualifications listed.,qualification_inflation
Only the best of the best make it through our bar.,qualification_inflation
"Perfectionists who never miss a detail, only.",qualification_inflation
An aggressive expansion strategy.,none
Aggressive marketing strategy for the new product line.,none
Aggressive quarterly sales targets.,none
A competitive benefits package.,none
Dominant market position in cloud storage.,none
Excellent communication skills.,none
Clear communication skills and teamwork.,none
A collaborative environment.,none
"Team-oriented, collaborative culture.",none
Business-level English proficiency.,none
Advanced English proficiency required.,none
The chairperson of the board.,none
Our chairperson will host the session.,none
Senior software engineer.,none
Experienced project manager.,none
Customer service representative.,none
Strong problem-solving skills.,none
Attention to detail.,none
Time management skills.,none
Proficiency in Python and SQL.,none
Rockstar engineer.,masculine_coded
Rockstar developer wanted.,masculine_coded
Ninja programmer.,masculine_coded
An aggressive personality.,masculine_coded
Aggressive individuals wanted.,masculine_coded
A dominant personality.,masculine_coded
Killer instinct required.,masculine_coded
Alpha males wanted.,masculine_coded
Chairman.,gendered_language
The chairman.,gendered_language
Chairman of the board.,gendered_language
Salesman wanted.,gendered_language
Spokesman needed.,gendered_language
Foreman position available.,gendered_language
Native English speaker.,exclusionary
Native English speakers required.,exclusionary
"Work hard, play hard.",exclusionary
"A work hard, play hard environment.",exclusionary
Work-hard-play-hard mentality.,exclusionary
Native speaker required.,exclusionary
Digital native.,age_coded
Digital natives preferred.,age_coded
Young and energetic.,age_coded
Fresh graduates only.,age_coded
Under 30 preferred.,age_coded
Youthful team.,age_coded
Bubbly personality.,feminine_coded
A nurturing personality.,feminine_coded
Sweet and cheerful demeanor.,feminine_coded
"Warm, gentle nature.",feminine_coded
Soft-spoken and pleasant.,feminine_coded
Must meet all requirements.,qualification_inflation
Every requirement is mandatory.,qualification_inflation
Top 1% only.,qualification_inflation
Ivy League graduates preferred.,qualification_inflation
World-class performers only.,qualification_inflation
Attractive appearance required.,appearance_bias
Well-groomed and presentable.,appearance_bias
Slim and photogenic.,appearance_bias
No family commitments.,caregiver_bias
No employment gaps.,caregiver_bias
"Available 24/7, no exceptions.",caregiver_bias
Must relocate immediately.,caregiver_bias
"A commanding, dominant leader.",stereotype
Manly confidence.,stereotype
No emotional people.,stereotype
Motherly instinct required.,stereotype
