Text,Gender_bias_sentiment,Bias_type,Biased_span,Bias_explanation
We are hiring a female accountant for our all-women finance team.,biased,explicit_gender,female accountant,Hiring exclusively for gender in an accounting role is unlawful in most jurisdictions without an occupational exemption.
We seek a nurturing female teacher to lead our early childhood program.,biased,stereotype,nurturing female teacher,"Combines a gendered term with the stereotype that women are naturally nurturing, implying men are unsuitable for childcare roles."
Looking for an aggressive go-getter to dominate the sales floor.,biased,stereotype,aggressive go-getter,Aggressive is a masculine-coded trait used as a positive hiring signal that disadvantages candidates socialised away from aggression.
The ideal candidate is a dominant leader who commands respect in the room.,biased,stereotype,dominant leader,Dominant leadership is a masculine-coded style that screens out equally effective collaborative leadership styles.
We need someone with a soft touch to manage our client relationships.,biased,stereotype,soft touch,Soft touch is a feminised trait used as a job requirement in a way that reinforces gender role expectations.
Looking for a bossy project manager who can keep the team in line.,biased,stereotype,bossy,Bossy is disproportionately applied to women as a negative label and encodes a double standard for assertiveness.
The candidate must project masculine authority when presenting to the board.,biased,stereotype,masculine authority,Requiring masculine authority as a presentation trait explicitly excludes women and non-binary candidates.
"We need a warm, motherly office manager to keep the team cohesive.",biased,stereotype,motherly,Using a parental gender role as a job qualification reinforces the stereotype that women are caregivers rather than professionals.
Ideal candidate is emotionally resilient — not overly sensitive or emotional.,biased,stereotype,overly sensitive or emotional,Emotional is often used as a coded critique of women; framing it as a disqualifier disproportionately targets women candidates.
We are looking for a fatherly mentor to lead our graduate intake program.,biased,stereotype,fatherly mentor,Using a gendered parental role as a job qualifier implies only men can serve in mentorship leadership.
Strong preference for candidates with a take-no-prisoners attitude.,biased,stereotype,take-no-prisoners attitude,This military-coded aggressive trait is masculine-coded and discourages candidates from non-dominant cultural backgrounds.
The ideal candidate is assertive and alpha — someone who takes charge without being told.,biased,stereotype,assertive and alpha,Alpha is an explicitly masculine-coded dominance signal that disadvantages women and non-binary applicants.
We want someone with feminine intuition to excel in our UX research role.,biased,stereotype,feminine intuition,Attributing professional competence to a gendered biological trait is stereotyping and implies men are unsuitable.
"The role requires someone with a warrior mindset — aggressive, relentless, and fearless.",biased,stereotype,warrior mindset,Warrior and aggressive are masculine-coded descriptors that signal cultural fit favouring men and excluding others.
We want a nurturing team player to support junior staff in their development.,biased,stereotype,nurturing team player,Nurturing is a feminine-coded trait; using it as a job requirement can deter male candidates and reinforce gendered expectations.
"The ideal candidate is a strong, decisive man of action.",biased,stereotype,man of action,Man of action is explicitly gendered and encodes a masculine leadership ideal that excludes women and non-binary candidates.
We need someone with a hunter mentality to identify and close new business.,biased,stereotype,hunter mentality,Hunter mentality is a masculine-coded sales descriptor that implicitly disadvantages women.
Looking for a smooth-talking charmer to represent our brand at events.,biased,stereotype,smooth-talking charmer,This descriptor encodes a gendered social performance expectation that disadvantages candidates outside dominant male networking norms.
The candidate must have the emotional toughness of a soldier.,biased,stereotype,emotional toughness of a soldier,"Military masculine toughness as a required trait signals that emotional expression is a disqualifier, disproportionately affecting women."
We value candidates with a boys-club mentality who thrive in competitive environments.,biased,stereotype,boys-club mentality,Boys-club explicitly signals a male-dominated culture and directly discourages women and non-binary candidates from applying.
Looking for someone with a thick skin who won't get rattled by high-pressure situations.,biased,stereotype,thick skin,Thick skin is a masculine-coded resilience descriptor often used to screen out candidates socialised to express emotion more openly.
"We need a warm, empathetic woman to lead our customer experience team.",biased,stereotype,"warm, empathetic woman",Combining gendered language with feminised emotional traits as a job requirement reinforces the stereotype that care roles are for women.
The ideal sales leader is someone who can be ruthless when closing deals.,biased,stereotype,ruthless when closing deals,Ruthless is a masculine-coded trait used as a professional virtue signal that disadvantages candidates who don't identify with aggressive negotiation styles.
"We want a tough, no-nonsense manager who doesn't get distracted by feelings.",biased,stereotype,doesn't get distracted by feelings,Framing emotional awareness as a distraction encodes the masculine norm that professional behaviour excludes emotional intelligence.
"The successful candidate will have a commanding presence and a deep, authoritative voice.",biased,stereotype,"commanding presence and a deep, authoritative voice",A commanding and deep-voiced presence requirement encodes masculine physical norms and disadvantages women in leadership roles.
"We are looking for a people's person — warm, gentle, and patient — to run our reception.",biased,stereotype,"warm, gentle, and patient",Clustering feminised soft traits as requirements for a front-desk role reinforces the stereotype that support roles are suited to women.
The ideal candidate exudes masculine confidence and doesn't back down in negotiations.,biased,stereotype,masculine confidence,Requiring masculine confidence as a negotiation trait is a direct gendered signal that women and non-binary candidates are less suited to the role.
We need someone fierce and relentless — a fighter who won't take no for an answer.,biased,stereotype,fierce and relentless — a fighter,Fighter and fierce are masculine-coded aggression signals that disadvantage candidates socialised away from combative self-presentation.
Our ideal head of school is a firm but caring maternal influence for students.,biased,stereotype,maternal influence,Using a gendered parental metaphor as a leadership qualifier for an education role reinforces the stereotype that women are natural caregivers.
We want a strong patriarch figure to anchor our family-owned business.,biased,stereotype,patriarch figure,Patriarch is an explicitly masculine-gendered authority role that excludes women and non-binary people from consideration.
The role calls for someone with unshakeable masculine resolve in crisis situations.,biased,stereotype,masculine resolve,Masculine resolve as a crisis management requirement is a gendered signal that men are better suited to high-stakes decision-making.
We are seeking a strong female role model to inspire our diversity programme.,biased,stereotype,strong female role model,"Specifying gender for a role model position implies that only women can represent diversity, reducing the scope and impact of the programme."
Looking for a battle-hardened operator to manage our turnaround project.,biased,stereotype,battle-hardened operator,Battle-hardened is a military masculine metaphor for professional resilience that signals cultural fit favouring men.
The candidate should be a powerful male voice in the boardroom.,biased,stereotype,powerful male voice,Specifying a male voice as a boardroom asset is direct gender stereotyping that excludes women from senior leadership.
We need someone with old-fashioned grit — a man who gets the job done without complaint.,biased,stereotype,a man who gets the job done,Explicitly gendering work ethic as a male quality is stereotyping that excludes women and non-binary people.
The ideal candidate is a natural nurturer with strong emotional sensitivity.,biased,stereotype,natural nurturer,"Natural nurturer is a feminised trait presented as a job requirement, reinforcing the stereotype that caregiving roles are suited to women."
"We want someone who leads from the front — bold, brash, and unapologetic.",biased,stereotype,"bold, brash, and unapologetic","Bold, brash, and unapologetic cluster masculine-coded personality traits that disadvantage women and non-binary candidates."
"The candidate will project confident, masculine energy in all client interactions.",biased,stereotype,masculine energy,Requiring masculine energy in client interactions encodes a gendered standard that disadvantages women in the role.
We are seeking a tough cookie who can handle a male-dominated environment without complaint.,biased,stereotype,handle a male-dominated environment without complaint,Asking candidates to tolerate a male-dominated environment normalises gender inequality rather than addressing it.
Looking for a decisive alpha to shake up our underperforming business unit.,biased,stereotype,decisive alpha,Alpha is an explicitly masculine-coded dominance signal; framing leadership as alpha behaviour disadvantages women and non-binary candidates.
"The candidate must be bold, competitive, and driven — the kind of person who dominates their field.",biased,stereotype,dominates their field,Dominate as a performance standard encodes masculine-coded competitiveness that research shows deters women from applying.
We need someone with the instincts of a natural-born leader — not someone who relies on consensus.,biased,stereotype,natural-born leader — not someone who relies on consensus,Framing consensus-building as a weakness encodes a masculine-coded lone authority style that disadvantages collaborative leadership styles more common among women.
"The ideal candidate for this nursing role is gentle, caring, and emotionally available.",biased,stereotype,"gentle, caring, and emotionally available",Clustering feminised emotional traits as requirements for a nursing role reinforces the stereotype that nursing is naturally suited to women.
We want a fierce female advocate to drive our gender equality initiative.,biased,stereotype,fierce female advocate,"Specifying gender for an advocacy role implies only women should lead gender equality work, reducing accountability across the organisation."
"Our ideal candidate will be a quietly confident, dependable woman who never causes a fuss.",biased,stereotype,"quietly confident, dependable woman who never causes a fuss",Describing a woman who doesn't cause a fuss as an ideal employee reinforces harmful stereotypes about women being compliant and non-assertive.
The role requires someone with gravitas — the natural authority that commands a room.,biased,stereotype,natural authority that commands a room,"Natural authority that commands a room encodes masculine leadership norms and disadvantages women, who are socially penalised for the same assertive behaviours."
This role requires someone available around the clock — we don't believe in work-life balance.,biased,requirements_bias,we don't believe in work-life balance,"Rejecting work-life balance as a value disproportionately disadvantages caregivers, who are statistically more likely to be women."
The candidate must be available 24/7 with no exceptions.,biased,requirements_bias,available 24/7 with no exceptions,"Round-the-clock availability requirements disproportionately screen out primary caregivers, who are statistically more often women."
We require someone with no gaps in their employment history.,biased,requirements_bias,no gaps in their employment history,"This requirement penalises candidates who took parental, medical, or caregiving leave, disproportionately affecting women."
Must be willing to relocate on short notice with no family commitments.,biased,requirements_bias,no family commitments,Explicitly screening for candidates without family commitments is discriminatory and disproportionately impacts women and parents.
The role requires frequent international travel — family responsibilities should not be a limitation.,biased,requirements_bias,family responsibilities should not be a limitation,Framing family responsibilities as a performance risk discriminates against parents and is disproportionately applied to women.
Candidates must be available to attend evening networking events on a regular basis.,biased,requirements_bias,available to attend evening networking events on a regular basis,"Regular evening commitments are a structural barrier for single parents and primary caregivers, disproportionately affecting women."
We expect total dedication — this role comes before everything else in your life.,biased,requirements_bias,this role comes before everything else in your life,"Demanding life-priority signals a culture that penalises caregivers, disproportionately impacting women and parents."
Must be willing to work weekends without additional compensation.,biased,requirements_bias,work weekends without additional compensation,"Unpaid weekend work requirements disproportionately burden caregivers and lower-income candidates, who are more often women."
The ideal candidate has zero obligations outside the office.,biased,requirements_bias,zero obligations outside the office,Requiring candidates to have no outside obligations screens out parents and caregivers and is disproportionately discriminatory toward women.
Candidates should expect to be on-call at all times including public holidays.,biased,requirements_bias,on-call at all times including public holidays,"Blanket on-call requirements without compensation disproportionately disadvantage caregivers, statistically more often women."
We require someone who can dedicate their entire life to the success of this company.,biased,requirements_bias,dedicate their entire life to the success of this company,"This extreme availability demand is a structural barrier for caregivers, disproportionately screening out women and parents."
The candidate must have no personal travel restrictions and be available globally at 48 hours' notice.,biased,requirements_bias,no personal travel restrictions,Requiring candidates to have no personal limitations on global travel disproportionately impacts parents and primary caregivers.
You should be prepared to answer messages at any hour — we move fast.,biased,requirements_bias,answer messages at any hour,Unlimited communication availability requirements disproportionately burden caregivers and those with family responsibilities.
The role requires someone who places career above personal life at all times.,biased,requirements_bias,places career above personal life,Making career-first orientation an explicit job requirement structurally disadvantages caregivers and disproportionately impacts women.
We are looking for someone who has never taken a career break.,biased,requirements_bias,never taken a career break,"Penalising career breaks screens out candidates who took parental, caregiving, or medical leave, disproportionately impacting women."
Candidates must be willing to work 70-hour weeks during peak periods without flexibility.,biased,requirements_bias,work 70-hour weeks during peak periods without flexibility,"Inflexible extreme-hours requirements disproportionately disadvantage caregivers, particularly single parents who are statistically more often women."
The successful candidate will not require accommodations for religious observance or personal commitments.,biased,requirements_bias,not require accommodations for religious observance or personal commitments,Screening out candidates with religious or personal commitments compounds gender discrimination with religious and cultural discrimination.
"We need someone fully footloose — no dependants, no pets, no ties.",biased,requirements_bias,"no dependants, no pets, no ties",Screening for absence of dependants is indirect gender and family discrimination that disproportionately impacts women.
The role requires someone who can be in the office by 6am each morning without exception.,biased,requirements_bias,in the office by 6am each morning without exception,Mandatory early-hours attendance without flexibility disproportionately disadvantages single parents and primary caregivers.
Must be comfortable working through public holidays — we deliver 365 days a year.,biased,requirements_bias,working through public holidays,Mandatory holiday working without compensation or flexibility is a structural barrier for caregivers and disproportionately impacts women.
This is not a nine-to-five role — we expect full dedication from dawn to well past midnight.,biased,requirements_bias,dawn to well past midnight,Framing extreme working hours as cultural fit is an indirect gender discriminator that disproportionately disadvantages caregivers.
We need someone with no ongoing medical appointments or health commitments that would affect availability.,biased,requirements_bias,no ongoing medical appointments or health commitments,Screening for health-related availability gaps compounds disability discrimination with gender discrimination against those with chronic health conditions.
Candidates should be prepared to uproot their lives and relocate internationally within 30 days.,biased,requirements_bias,uproot their lives and relocate internationally within 30 days,Short-notice international relocation requirements structurally disadvantage candidates with family roots and caregiving responsibilities.
"You will be expected to be reachable by the senior leadership team at all hours, including weekends.",biased,requirements_bias,reachable by the senior leadership team at all hours,Unlimited executive accessibility is a structural ideal-worker norm that disproportionately disadvantages caregivers and women.
The candidate must demonstrate that no personal obligation will ever interfere with business delivery.,biased,requirements_bias,no personal obligation will ever interfere with business delivery,"Requiring proof of zero personal obligations is a structural discriminator against caregivers, disproportionately affecting women."
"We need someone who will eat, sleep, and breathe this company.",biased,requirements_bias,"eat, sleep, and breathe this company","Extreme devotion framing signals an ideal-worker culture that structurally disadvantages caregivers, who are statistically more often women."
Candidates must be willing to sacrifice personal time regularly for the good of the team.,biased,requirements_bias,sacrifice personal time regularly,Framing personal time sacrifice as a professional virtue is an ideal-worker norm that disproportionately burdens caregivers and women.
The role involves regular overnight travel — candidates must confirm no domestic limitations.,biased,requirements_bias,no domestic limitations,Screening for absence of domestic limitations is indirect gender discrimination that disadvantages caregivers.
We require unwavering commitment — career gaps or reduced hours in previous roles are a red flag.,biased,requirements_bias,career gaps or reduced hours in previous roles are a red flag,"Penalising reduced hours and career gaps screens out candidates who accommodated caregiving, disproportionately impacting women."
"This is a lifestyle, not a job — candidates must be fully immersed with no personal distractions.",biased,requirements_bias,no personal distractions,Framing the absence of personal life as cultural fit is a structural ideal-worker norm that disproportionately disadvantages caregivers and women.
We expect staff to be fully present and unencumbered by outside responsibilities.,biased,requirements_bias,unencumbered by outside responsibilities,Requiring freedom from outside responsibilities is a structural barrier for caregivers and disproportionately disadvantages women.
Candidates working part-time in previous roles need not apply.,biased,requirements_bias,working part-time in previous roles need not apply,"Penalising prior part-time work screens out candidates who accommodated caregiving, disproportionately impacting women."
The successful candidate will be available to fly internationally on 24 hours' notice with no restrictions.,biased,requirements_bias,available to fly internationally on 24 hours' notice with no restrictions,Short-notice international travel requirements with no restrictions disproportionately disadvantage caregivers and parents.
This role requires someone who has demonstrated sustained full-time commitment throughout their career.,biased,requirements_bias,sustained full-time commitment throughout their career,"Requiring unbroken full-time work history is an ideal-worker standard that structurally penalises caregiving breaks, disproportionately affecting women."
We're looking for a coding ninja to join our backend engineering team.,biased,masculine_coded_language,coding ninja,Ninja is a masculine-coded superlative that research shows deters women from applying; skilled engineer is inclusive.
We need a rockstar developer who can ship fast and break things.,biased,masculine_coded_language,rockstar developer,Rockstar is a masculine-coded hyperbolic descriptor that signals a laddish culture and disproportionately deters women.
This is a role for a true coding wizard with deep systems knowledge.,biased,masculine_coded_language,coding wizard,Wizard is a masculine-coded fantasy archetype used as a job qualifier that implicitly signals a male-default culture.
We want someone who will dominate the market and crush the competition.,biased,masculine_coded_language,dominate the market,Dominate is a masculine-coded aggressive verb that signals a hypermasculine culture and deters candidates who don't identify with that framing.
Looking for a sales guru who can evangelise our product to enterprise clients.,biased,masculine_coded_language,sales guru,Guru is a masculine-coded authority archetype that research shows appears disproportionately in male-dominated industry job postings.
You will own the roadmap and ruthlessly prioritise what ships.,biased,masculine_coded_language,ruthlessly prioritise,Ruthlessly is a masculine-coded adverb that frames professional decisiveness as aggression and deters candidates who value other styles.
We need a self-reliant engineer who doesn't need hand-holding to get things done.,biased,masculine_coded_language,self-reliant,Self-reliant is a masculine-coded trait; research shows it signals independence culture that deters women who value collaborative environments.
The ideal candidate is a competitive high-performer who thrives on beating targets.,biased,masculine_coded_language,competitive high-performer,"Competitive is empirically identified as a masculine-coded word that reduces women's likelihood of applying (Gaucher et al., 2011)."
We are building a tribe of ambitious go-getters who want to change the world.,biased,masculine_coded_language,tribe of ambitious go-getters,Tribe is a masculine-coded in-group signal; combined with go-getters it codes the culture as male-dominated.
This role requires a headstrong individual who won't back down from a challenge.,biased,masculine_coded_language,headstrong,Headstrong is a masculine-coded stubbornness-as-virtue framing that encodes an aggressive work culture deterring women.
We want a champion who will lead from the front and inspire through action.,biased,masculine_coded_language,champion,Champion is a masculine-coded leadership archetype associated with combat and sport.
Looking for an independent thinker who is not afraid to ruffle feathers.,biased,masculine_coded_language,ruffle feathers,Ruffle feathers is a masculine-coded confrontation framing that implicitly rewards aggressive workplace behaviour.
We need a killer instinct in our next head of growth.,biased,masculine_coded_language,killer instinct,Killer instinct is a violent masculine-coded metaphor for professional ambition.
You'll be expected to crush your quarterly targets and outperform peers.,biased,masculine_coded_language,crush your quarterly targets,Crush is a violent masculine-coded achievement verb that signals a hyper-competitive culture.
The ideal candidate has a lone wolf mentality — self-sufficient and driven.,biased,masculine_coded_language,lone wolf mentality,"Lone wolf is a masculine-coded individualism archetype that deters candidates who value collaboration, disproportionately including women."
We're hiring a data ninja to build our analytics infrastructure from scratch.,biased,masculine_coded_language,data ninja,Ninja is a masculine-coded superlative that appears predominantly in job postings that attract disproportionately male applicant pools.
Looking for a product guru with deep customer empathy and a bias for action.,biased,masculine_coded_language,product guru,Guru is a masculine-coded expert archetype; bias for action is also masculine-coded language per hiring bias research.
We want someone who can go from zero to one — a builder who gets things done.,biased,masculine_coded_language,zero to one,Zero to one is a masculine-coded startup mythology phrase associated with male founder culture.
The candidate must be a self-starter who can hit the ground running without direction.,biased,masculine_coded_language,self-starter,Self-starter is a masculine-coded independence signal that research identifies as deterring women who value structured onboarding.
We are looking for a sharp-elbowed operator who can navigate political environments.,biased,masculine_coded_language,sharp-elbowed operator,Sharp-elbowed is a masculine-coded aggressive political metaphor.
We need an engineering rockstar who eats hard problems for breakfast.,biased,masculine_coded_language,engineering rockstar,Rockstar combined with aggressive hyperbole encodes a masculine-default tech culture that deters women.
Our ideal candidate is a data wizard who can untangle the messiest datasets.,biased,masculine_coded_language,data wizard,Wizard is a masculine-coded fantasy superlative used as a skill descriptor in male-dominated tech contexts.
We want a sales champion who will conquer new markets and build our empire.,biased,masculine_coded_language,conquer new markets,Conquer is a military masculine-coded achievement verb that signals an aggressive expansion culture.
This is a role for a growth hacker with the drive to dominate our category.,biased,masculine_coded_language,dominate our category,Growth hacker and dominate are masculine-coded tech startup terms that signal a male-default culture.
We need a hands-on warrior who will roll up their sleeves and fight for results.,biased,masculine_coded_language,warrior who will roll up their sleeves and fight for results,Warrior and fight are military masculine-coded metaphors that signal a combative workplace culture deterring diverse candidates.
Looking for a tenacious self-starter who will own outcomes from day one.,biased,masculine_coded_language,tenacious self-starter,Tenacious and self-starter cluster masculine-coded independence and aggression signals that deter women candidates.
We want someone who can evangelise our brand and conquer social media.,biased,masculine_coded_language,conquer social media,Conquer is a masculine-coded conquest metaphor used as a performance standard.
"The successful candidate will be a driven operator who thrives in a competitive, high-stakes environment.",biased,masculine_coded_language,driven operator,Driven and operator are masculine-coded high-performance signals common in male-dominated finance and tech cultures.
We are hiring a product ninja who can ship features at lightning speed.,biased,masculine_coded_language,product ninja,Product ninja is a masculine-coded superlative that signals a male-default engineering culture.
"We want someone with the instincts of a poker player — calm, strategic, and willing to bluff.",biased,masculine_coded_language,instincts of a poker player,Poker player is a masculine-coded strategic archetype that implicitly signals a male-dominated culture of competitive calculation.
Looking for a hard-charging VP of Sales who won't take no for an answer.,biased,masculine_coded_language,hard-charging,Hard-charging is a masculine-coded aggression signal that is empirically associated with male-dominated sales culture.
"The role calls for someone who can out-think, out-hustle, and out-execute the competition.",biased,masculine_coded_language,out-hustle,Hustle is a masculine-coded performance ideology associated with male-dominated startup culture.
We need an analytical powerhouse who can wrestle insight from complex data.,biased,masculine_coded_language,wrestle insight,Wrestling insight is a physical combat masculine-coded metaphor for analytical work.
"Our team is full of brilliant jerks — if you can't handle that, this isn't for you.",biased,masculine_coded_language,brilliant jerks,Brilliant jerks is a well-documented masculine-coded culture signal that normalises toxic behaviour and deters women candidates.
We want a street-smart operator who has seen it all and can work under any pressure.,biased,masculine_coded_language,street-smart operator,Street-smart operator encodes a masculine-coded hardness signal that disadvantages candidates who don't identify with aggressive performance norms.
"Looking for a fearless, independent contributor who works best without supervision.",biased,masculine_coded_language,"fearless, independent contributor",Fearless and independent are masculine-coded trait signals that research shows deter women who value collaborative structures.
We want a go-getter who will hustle for market share in a crowded landscape.,biased,masculine_coded_language,go-getter who will hustle,Go-getter and hustle are masculine-coded performance descriptors from startup culture that disproportionately deter women.
"The ideal candidate is an ambitious, self-directed individual who won't need hand-holding.",biased,masculine_coded_language,self-directed individual who won't need hand-holding,Self-directed and dismissal of support are masculine-coded independence signals that deter women who value collaborative onboarding.
We need a data gladiator who can defend insights in a room full of sceptics.,biased,masculine_coded_language,data gladiator,Gladiator is a combat masculine-coded archetype used as a professional superlative that signals a male-default analytical culture.
"This is a company of missionaries, not mercenaries — we want true believers.",biased,masculine_coded_language,"missionaries, not mercenaries",Missionary and mercenary are masculine-coded religious and military metaphors common in male-dominated founder-culture organisations.
Looking for a battle-tested engineer who has shipped products under fire.,biased,masculine_coded_language,battle-tested,Battle-tested is a military masculine-coded experience descriptor that signals a male-default engineering culture.
"We need a scrappy, resourceful hustler who can build from zero.",biased,masculine_coded_language,"scrappy, resourceful hustler",Scrappy and hustler are masculine-coded startup culture signals that research shows disproportionately deter women from applying.
The candidate must be a thought leader who dominates industry conversations.,biased,masculine_coded_language,dominates industry conversations,Dominates is a masculine-coded conquest verb used as a professional excellence standard that disadvantages women candidates.
We want a fearless disruptor who will challenge the status quo and win.,biased,masculine_coded_language,fearless disruptor,Disruptor is a masculine-coded Silicon Valley archetype; combined with fearless it encodes a male-default founder culture.
